epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.474,1.54309,4.83734,1.47782,0.00163,0.11349,0.002,0.00077,1.09697,4.48828,1.24713,7e-05,7e-05,7e-05
2,192.839,0.90705,4.18349,1.08164,0.01114,0.75688,0.07275,0.05017,0.86813,4.02862,0.94847,0.00014901,0.00014901,0.00014901
3,279.164,0.95164,3.66214,1.10844,0.00744,0.98651,0.22097,0.14258,0.91975,4.02932,0.9583,0.000226964,0.000226964,0.000226964
4,364.932,0.94309,3.12716,1.07006,0.00725,0.86839,0.19635,0.12773,1.06156,4.06519,1.01515,0.000303862,0.000303862,0.000303862
5,450.188,0.94588,2.86885,1.02894,0.00732,0.94577,0.30268,0.17672,1.09351,3.94933,1.04812,0.000379704,0.000379704,0.000379704
6,534.983,1.01207,2.65868,1.04385,0.00592,0.93968,0.22779,0.15848,0.88134,3.86152,0.93133,0.00045449,0.00045449,0.00045449
7,621.77,0.856,2.29785,0.98887,0.00562,0.93598,0.25899,0.18938,0.93299,3.82605,0.93645,0.00052822,0.00052822,0.00052822
8,706.709,0.88154,2.24329,0.97066,0.00596,0.99537,0.33814,0.2493,0.91862,3.58816,0.93276,0.000600894,0.000600894,0.000600894
9,791.15,0.90093,2.20207,1.02696,0.8976,0.1224,0.37254,0.27607,0.90609,3.51763,0.98123,0.000672512,0.000672512,0.000672512
10,875.588,0.86542,1.97037,0.9817,0.61756,0.20409,0.39562,0.28307,0.94747,3.50786,0.98276,0.000743074,0.000743074,0.000743074
11,960.324,0.82518,1.95023,0.96146,0.49931,0.28415,0.39361,0.28958,0.8904,3.22584,0.9198,0.00081258,0.00081258,0.00081258
12,1044.63,0.76609,1.76202,0.93974,0.48738,0.37765,0.19293,0.11947,1.11314,3.68871,1.04642,0.00088103,0.00088103,0.00088103
13,1132.33,0.83201,1.82964,0.97391,0.80828,0.15926,0.21464,0.13486,1.16926,3.8679,1.07293,0.0009208,0.0009208,0.0009208
14,1225.55,0.86213,1.89477,0.96578,0.47759,0.43085,0.34929,0.20822,1.30711,3.37165,1.12969,0.0009142,0.0009142,0.0009142
15,1306.22,0.83367,1.66054,0.96733,0.45669,0.5208,0.49772,0.33708,1.10912,3.05903,1.0664,0.0009076,0.0009076,0.0009076
16,1386.48,0.84994,1.53106,0.98146,0.42152,0.45075,0.46502,0.33126,1.01963,2.94938,1.02081,0.000901,0.000901,0.000901
17,1466.23,0.78078,1.58588,0.92153,0.52605,0.4542,0.5125,0.35032,1.11076,3.00698,1.09348,0.0008944,0.0008944,0.0008944
18,1547.1,0.75687,1.48508,0.92263,0.50755,0.57684,0.61406,0.42903,1.06488,2.67358,1.03342,0.0008878,0.0008878,0.0008878
19,1631.56,0.83241,1.43156,0.97556,0.57988,0.48968,0.55511,0.41505,1.04807,2.91404,1.05695,0.0008812,0.0008812,0.0008812
20,1714.51,0.76801,1.35547,0.92516,0.66951,0.5625,0.6635,0.49808,1.00184,2.57078,1.01676,0.0008746,0.0008746,0.0008746
21,1796.79,0.72803,1.2848,0.92311,0.52407,0.63867,0.69136,0.5498,0.8282,2.17736,0.92141,0.000868,0.000868,0.000868
22,1878.49,0.80917,1.35606,0.94501,0.55224,0.67111,0.67976,0.53141,1.00142,2.10826,0.99489,0.0008614,0.0008614,0.0008614
23,1960.56,0.74826,1.23147,0.93777,0.43665,0.62176,0.60765,0.47107,0.89441,2.07259,0.94163,0.0008548,0.0008548,0.0008548
24,2041.61,0.78469,1.26659,0.95313,0.5624,0.49005,0.54419,0.42815,0.89067,2.23471,0.97572,0.0008482,0.0008482,0.0008482
25,2122.98,0.69209,1.12007,0.89272,0.47458,0.6226,0.63095,0.47805,0.95079,1.97621,1.01685,0.0008416,0.0008416,0.0008416
26,2204.42,0.74211,1.2155,0.90783,0.48952,0.68787,0.60924,0.46956,0.98272,2.00244,0.99462,0.000835,0.000835,0.000835
27,2285.78,0.7196,1.12865,0.92118,0.63924,0.69259,0.64448,0.48135,1.02545,1.98483,1.02839,0.0008284,0.0008284,0.0008284
28,2367.37,0.66821,1.1992,0.89313,0.70416,0.51223,0.61438,0.47996,0.85933,1.79214,0.95171,0.0008218,0.0008218,0.0008218
29,2448.89,0.70614,1.16413,0.89606,0.64633,0.54424,0.685,0.53692,0.87943,1.88067,0.95902,0.0008152,0.0008152,0.0008152
30,2530.2,0.70918,0.98761,0.93019,0.74304,0.53834,0.67543,0.50653,0.94929,1.84217,0.954,0.0008086,0.0008086,0.0008086
31,2611.45,0.7209,0.96438,0.89824,0.56432,0.57197,0.60443,0.44933,0.95603,2.25699,0.98952,0.000802,0.000802,0.000802
32,2692.78,0.72185,0.95316,0.91221,0.64089,0.62873,0.64899,0.49888,0.86663,1.99143,0.96682,0.0007954,0.0007954,0.0007954
33,2773.61,0.71119,0.99148,0.92783,0.66295,0.64702,0.68399,0.50506,1.0113,1.81258,1.01912,0.0007888,0.0007888,0.0007888
34,2854.21,0.72434,1.07282,0.92049,0.57114,0.76767,0.68081,0.52812,0.86411,1.62806,0.94142,0.0007822,0.0007822,0.0007822
35,2935.19,0.65829,0.99091,0.88602,0.56838,0.67307,0.6844,0.5329,0.89868,1.55536,0.94619,0.0007756,0.0007756,0.0007756
36,3016.26,0.69839,0.89904,0.90471,0.61953,0.63811,0.65393,0.52352,0.7917,1.5658,0.91082,0.000769,0.000769,0.000769
37,3097.75,0.63569,0.87091,0.88416,0.62585,0.66695,0.69845,0.55837,0.7845,1.51199,0.91013,0.0007624,0.0007624,0.0007624
38,3178.8,0.62157,0.79961,0.8775,0.58236,0.69145,0.68381,0.54805,0.81489,1.67574,0.93322,0.0007558,0.0007558,0.0007558
39,3259.98,0.65827,0.86512,0.88115,0.63421,0.76527,0.69934,0.54521,0.85072,1.49815,0.92074,0.0007492,0.0007492,0.0007492
40,3341.19,0.66293,0.79323,0.8739,0.60697,0.67752,0.66182,0.5161,0.83288,1.56825,0.95868,0.0007426,0.0007426,0.0007426
41,3422.09,0.704,0.83613,0.90015,0.70014,0.68492,0.72711,0.57593,0.89075,1.50408,0.99496,0.000736,0.000736,0.000736
42,3503.26,0.65719,0.81283,0.87689,0.6312,0.65897,0.66276,0.51365,0.88847,1.43203,0.9588,0.0007294,0.0007294,0.0007294
43,3584.13,0.66896,0.80369,0.88341,0.75687,0.64795,0.7357,0.5984,0.76982,1.44686,0.90441,0.0007228,0.0007228,0.0007228
44,3664.84,0.67985,0.79977,0.89683,0.67566,0.62287,0.69721,0.53556,0.78508,1.54735,0.91472,0.0007162,0.0007162,0.0007162
45,3745.77,0.67545,0.74123,0.88151,0.70608,0.64461,0.72166,0.57785,0.75967,1.28673,0.91076,0.0007096,0.0007096,0.0007096
46,3826.64,0.64068,0.70104,0.89473,0.71042,0.597,0.70053,0.55383,0.85467,1.41498,0.93308,0.000703,0.000703,0.000703
47,3907.77,0.62385,0.67376,0.8864,0.59911,0.7259,0.68287,0.54427,0.78862,1.65285,0.91845,0.0006964,0.0006964,0.0006964
48,3988.81,0.63661,0.69303,0.88061,0.60804,0.79696,0.71982,0.57481,0.81521,1.59581,0.93049,0.0006898,0.0006898,0.0006898
49,4069.81,0.65573,0.7068,0.87286,0.63027,0.73775,0.71403,0.57964,0.77395,1.39482,0.90886,0.0006832,0.0006832,0.0006832
50,4150.78,0.60276,0.67871,0.84935,0.64081,0.75507,0.73074,0.55985,0.89524,1.45471,0.95094,0.0006766,0.0006766,0.0006766
